,video_name,tag
0,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_230.mp4,crash
1,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_358.mp4,crash
2,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_592.mp4,crash
3,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_371.mp4,crash
4,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_37.mp4,crash
5,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_291.mp4,crash
6,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_356.mp4,crash
7,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1483.mp4,crash
8,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_669.mp4,crash
9,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1306.mp4,crash
10,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_690.mp4,crash
11,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_603.mp4,crash
12,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1364.mp4,crash
13,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1291.mp4,crash
14,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_61.mp4,crash
15,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1109.mp4,crash
16,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_204.mp4,crash
17,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1446.mp4,crash
18,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_964.mp4,crash
19,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1268.mp4,crash
20,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_352.mp4,crash
21,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1271.mp4,crash
22,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_762.mp4,crash
23,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1197.mp4,crash
24,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_246.mp4,crash
25,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_885.mp4,crash
26,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1402.mp4,crash
